reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29
evreg3,2.relative_year_bin_aux#1.moderator,39.77549326246257,473.1087377897488,0,0,0,0,0,0,0,0,-.0035275408743614,-1.567049936555799,.5161719247082971,.7706492993567454,.9155373524238867,.3422455948515479,.1959844763783835,.2075538861372687,3.177706357062009,4.32701130343865,2.804170951259915,1.597083012893535,.5766768260960983,-.5736390424748226,0,-.5549552808450278,-1.150201925488515,-1.176025000204002,-.9845464184005074,-1.30995505504508,-.0311852566410769
evreg3,3.relative_year_bin_aux#1.moderator,21.98287607725458,473.1087377897488,0,0,0,0,0,0,0,0,-.0013411633791319,-1.040392792336265,.4400563118960626,.8579359509395166,1.11750248603759,.8753785595951463,.3428500166786948,.4482878574538384,2.675023547120572,2.804170951259915,4.597958590757536,2.053503851050568,.2307199915128607,-.4320558311328402,0,-.621914982256025,-1.142017501785212,-1.62765012456031,-1.59362598003196,-.8573469790460242,-.0902008199288315
evreg3,5.relative_year_bin_aux#1.moderator,12.27392196150711,473.1087377897488,0,0,0,0,0,0,0,0,-.0005708512602352,.4076112691869003,.5949056131622403,.4745697790282805,1.031500316029924,.8566433529025511,1.082333882868574,.8354626828818738,1.314081040312545,1.597083012893535,2.053503851050568,4.174705540393699,2.203095890958463,2.408991020727574,0,-.8907279697224835,-.9308683185313674,-1.494688306640278,-1.895752365384138,-2.136771877665444,-1.52719941690181
evreg3,6.relative_year_bin_aux#1.moderator,7.08855805155801,473.1087377897488,0,0,0,0,0,0,0,0,.0043180491621078,2.717107402272717,.2716643847621841,.6410202768160316,.7875659379597035,1.400522817376143,1.988898046213707,.583156898545411,-.9655659942889888,.5766768260960983,.2307199915128607,2.203095890958463,12.58261217680755,-5.865656198935938,0,.1907033577834184,-1.243669735702396,-1.34218217430991,-3.009034370976555,-7.330015067927293,5.016601049274506
evreg3,7.relative_year_bin_aux#1.moderator,-146.1919612931691,473.1087377897488,0,0,0,0,0,0,0,0,.0069604384200131,6.314462379926952,.1650721740121557,.1113886163346527,.5098485954060922,.4782885120656916,-.3136066425595043,57.23335251510316,-1.051061035920607,-.5736390424748226,-.4320558311328402,2.408991020727574,-5.865656198935938,315.2438853742661,0,.3995852804049337,.3173323840125528,-.5023231949027106,-1.336674503308905,2.333292311366758,-270.6237394679057
evreg3,1o.treat#1o.moderator,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg3,1bn.relative_year_bin_aux#1.treat#1.moderator,-31.17073171722819,473.1087377897488,0,0,0,0,0,0,0,0,.0002915872365807,.6306910366023641,-22.9282877906285,-15.76475133863605,-8.576382229627525,-13.40073994684866,-7.359922744925521,-6.931295635543154,-.6115747919853534,-.5549552808450278,-.621914982256025,-.8907279697224835,.1907033577834184,.3995852804049337,0,217.8481500105757,65.05217020519898,77.03905984412559,-21.16008829621559,-91.92097329817047,-46.00581131396728
evreg3,2.relative_year_bin_aux#1.treat#1.moderator,-2.718455813432219,473.1087377897488,0,0,0,0,0,0,0,0,.001340229540303,2.636286465270582,-15.56225707671398,-26.55648973498946,-5.31564150286463,-19.78575148560667,-12.03365367873953,-11.00123790671934,-.3356924212596925,-1.150201925488515,-1.142017501785212,-.9308683185313674,-1.243669735702396,.3173323840125528,0,65.05217020519898,140.8671168587861,60.88798510901796,40.99139413025679,37.90632305320606,26.09338910920901
evreg3,3.relative_year_bin_aux#1.treat#1.moderator,26.0959983923875,473.1087377897488,0,0,0,0,0,0,0,0,-.0003456520844384,-.5279597079108476,-8.531895738427909,-5.370846153320925,-19.17534305007357,1.37606840368728,.1588752125780964,1.607626969303497,-.7938749857798469,-1.176025000204002,-1.62765012456031,-1.494688306640278,-1.34218217430991,-.5023231949027106,0,77.03905984412559,60.88798510901796,145.0371966071881,10.33117613456512,75.87969438853372,28.90974972855544
evreg3,5.relative_year_bin_aux#1.treat#1.moderator,41.14922058870489,473.1087377897488,0,0,0,0,0,0,0,0,.0019682439127558,2.201133921212762,-12.66676458868598,-19.32416396077294,1.638179186460347,-44.40650002382703,-10.52642234323866,-20.24953573232652,-.6902537245933662,-.9845464184005074,-1.59362598003196,-1.895752365384138,-3.009034370976555,-1.336674503308905,0,-21.16008829621559,40.99139413025679,10.33117613456512,171.9126005850306,201.1354552034654,136.6465714377859
evreg3,6.relative_year_bin_aux#1.treat#1.moderator,124.8410579386892,473.1087377897488,0,0,0,0,0,0,0,0,-.0000341397801259,-.6988643457584799,-5.51009835927806,-10.95380279973708,.4156107929173893,-10.36439468442529,-51.70286937286796,-15.7284439939951,-.3631500811411619,-1.30995505504508,-.8573469790460242,-2.136771877665444,-7.330015067927293,2.333292311366758,0,-91.92097329817047,37.90632305320606,75.87969438853372,201.1354552034654,903.474946715639,398.9782747998951
evreg3,7.relative_year_bin_aux#1.treat#1.moderator,50.88613139981125,473.1087377897488,0,0,0,0,0,0,0,0,-.0001393885365139,.0795277277229937,-5.834797751567169,-10.25566268346344,1.946765296846276,-20.07470244570558,-14.52206419468271,-270.3821994115066,.2932516585197357,-.0311852566410769,-.0902008199288315,-1.52719941690181,5.016601049274506,-270.6237394679057,0,-46.00581131396728,26.09338910920901,28.90974972855544,136.6465714377859,398.9782747998951,867.2288857723677
evreg4,1bno.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg4,2o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg4,3o.relative_year_bin_aux,0,473.1087377897488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
