reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26
evreg3,Le4_abs,-2.245557710550807,122.8774302807586,3.137959434983995,3.527234678187736,4.890536951622649,7.054198284543416,5.67863532796409,10.49135838718199,3.080835217548428,6.093567426111933,4.568157727987068,4.361765888092767,4.366277259050111,4.255789386848807,-3.310999464255091,-3.682216042624669,-5.001768851257498,-7.206363354698032,-5.904672926903128,-11.05500537142024,-3.088809235628368,-6.324010830702077,-4.785918547558407,-4.480074085674957,-4.433618424547292,-4.372090113855759,-4.510405093232528,.0076210715098878
evreg3,Le5_abs,5.446103277727135,122.8774302807586,3.802026433000859,4.123736061520104,5.321316241833793,5.67863532796409,9.189922575388289,15.61386486117306,3.585386618938908,7.936479654633183,5.770554601626616,5.42429711308275,5.627954441210757,4.32929423448286,-4.010042932130109,-4.307280792659492,-5.458561230694265,-5.854569319630757,-9.443132869372121,-16.28807329429054,-3.605476644029439,-8.241146409750826,-6.069675710515682,-5.608620143652639,-5.755990702493542,-4.518227051466041,-2.302333868244767,.0088641738917187
evreg3,Le6_abs,13.02897507846413,122.8774302807586,8.435191130375328,8.75770378344286,10.91458702615989,10.49135838718199,15.61386486117306,48.05886233136994,5.696071502643398,15.24180328480018,11.97020456118071,12.30439219449892,10.8542029075247,8.140282983404754,-8.629899579096476,-8.934342695657868,-11.02850107043894,-10.66991529091071,-15.90148821976628,-48.71644051773909,-5.692263829583187,-15.46847981465419,-12.1695296722283,-12.3818885866197,-10.86381594025397,-8.205754715463543,-9.704316758929588,.0219906641595512
evreg3,La1_abs,-5.563734780528323,122.8774302807586,2.387773745057574,2.645002156368046,3.055750675225188,3.080835217548428,3.585386618938908,5.696071502643398,5.295572069799392,4.985459094740785,3.289955886807372,2.880164155153095,3.004356670235079,2.153718651553266,-2.334381210474816,-2.597847689220551,-3.012459966246811,-3.036775881243862,-3.535659182903666,-5.538961867788958,-5.282354128423735,-4.893910103140795,-3.195310170289262,-2.809226376484756,-2.940243742709315,-2.077213538113315,-1.421065819167012,.0069674705346969
evreg3,La2_abs,1.11306672349618,122.8774302807586,4.912801002115106,5.479897085667578,6.754003744291431,6.093567426111933,7.936479654633183,15.24180328480018,4.985459094740785,16.40282453016746,7.716298231257453,6.426518663793983,5.493188678109162,4.209842535125277,-4.876328444719467,-5.451672196644198,-6.709471265990149,-6.074669323477473,-7.946232077823773,-15.1551574622385,-4.947530173606154,-16.28003997082137,-7.572039772654715,-6.284532597282024,-5.338027957609371,-4.047939648243317,-8.009519476271175,.0132255261501836
evreg3,La3_abs,-.1217732609708748,122.8774302807586,3.90907106218047,4.315672537747743,4.789348879050738,4.568157727987068,5.770554601626616,11.97020456118071,3.289955886807372,7.716298231257453,7.01819870903876,5.773296355289985,5.069764108213663,4.106541090372425,-3.841360737023724,-4.259015689190933,-4.727976635407728,-4.519698535158658,-5.728407087167925,-11.7703834554144,-3.249185562745694,-7.55535884855375,-6.84169541472394,-5.619758408579901,-4.913591253476545,-3.935270610436705,-6.057849971211042,.0037942450929679
evreg3,La4_abs,.5492474284826004,122.8774302807586,3.844596551698021,4.27919080661072,4.878122247743779,4.361765888092767,5.42429711308275,12.30439219449892,2.880164155153095,6.426518663793983,5.773296355289985,7.633725861024232,6.416789013135851,4.702563206806019,-3.735267504111765,-4.188827783374482,-4.790731600910112,-4.28504729154475,-5.342093109646751,-11.96394160024321,-2.830321113926735,-6.184443318235829,-5.509133338165624,-7.414098093413093,-6.205731351562481,-4.459688638840104,-7.650141804597842,-.0027869342792685
evreg3,La5_abs,-6.886314571868398,122.8774302807586,3.221007071432738,4.434662596945106,5.183717053455392,4.366277259050111,5.627954441210757,10.8542029075247,3.004356670235079,5.493188678109162,5.069764108213663,6.416789013135851,15.74563985742035,8.86256346261176,-3.080030172886037,-4.31592077970024,-5.07936033214893,-4.261779899633424,-5.50121074244613,-10.4105660465355,-2.963295904853335,-5.221456928842349,-4.779730455986438,-6.191879838950076,-15.54416186649407,-8.617637424986478,-5.882019312963418,-.0022270592674418
evreg3,La6_abs,-4.476205350128848,122.8774302807586,3.053987648258791,3.40675068953513,4.472818229966152,4.255789386848807,4.32929423448286,8.140282983404754,2.153718651553266,4.209842535125277,4.106541090372425,4.702563206806019,8.86256346261176,18.20945529657259,-2.976561396119257,-3.358464375126633,-4.411043841672543,-4.240451939088083,-4.349914688219078,-7.901883258023327,-2.103271039251106,-3.938755126007933,-3.774229482582458,-4.389054904664076,-8.554238909575394,-17.8540642958437,-17.82126486453801,-.0026582331640641
evreg3,1.Le1_abs#1.rice_harvarea_aclvl_ahigh,-1.155152856095159,122.8774302807586,-4.551552797838037,-3.455873276718508,-3.535099165589914,-3.310999464255091,-4.010042932130109,-8.629899579096476,-2.334381210474816,-4.876328444719467,-3.841360737023724,-3.735267504111765,-3.080030172886037,-2.976561396119257,24.97332781223935,18.93991708046097,18.52161510533647,18.35620443917491,20.8340953938157,29.98502709743851,17.70097614488389,26.91526576952973,23.19180215866433,20.41882145170025,20.46996391840789,21.43183649553453,-8.85041782345559,.00996995800943
evreg3,1.Le2_abs#1.rice_harvarea_aclvl_ahigh,-7.664305119661874,122.8774302807586,-3.429513802722003,-5.546421783662312,-4.600120310530996,-3.682216042624669,-4.307280792659492,-8.934342695657868,-2.597847689220551,-5.451672196644198,-4.259015689190933,-4.188827783374482,-4.31592077970024,-3.358464375126633,18.93991708046097,28.24692748742818,22.59595706663087,20.52271404009323,22.68105671807426,31.5693261565301,18.80933449800266,29.83708298332094,25.07518981621024,22.24196060976596,24.55624310568395,23.30319188788519,-7.895561764630389,.0171869197733763
