reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg2,2.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,34.52625351549608,40.07148146955598,0,0,0,0,0,0,0,-.0841483460262041,-5.917658602822158,6.354987483272681,6.645148391447818,5.949634677734321,-3.291144723073539,-2.622785883284,34.43769490099042,37.27378215934865,19.540325502301,.0337613884927579,-5.503873689953585,0,3.873206431199691,-7.188910184461767,-6.576825337468124,-12.33021706209162,-16.42561352399231
evreg2,3.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,.8647546504358586,40.07148146955598,0,0,0,0,0,0,0,.1155308822330966,-16.96910446870071,2.450164472835555,4.244264203079988,6.833719400644999,-6.090096278616621,-4.352465508077572,19.05358292065478,19.540325502301,22.96029290279204,-11.18340952981535,-15.77637248076248,0,-17.36920241864265,-14.53924567146769,-16.93276745679975,8.629352116297776,19.57937411531599
evreg2,5.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,27.02553815723985,40.07148146955598,0,0,0,0,0,0,0,-.1249808456198829,13.26453771253132,-.4722674671232866,-1.893409715914849,-4.871621160444097,3.680364665497607,6.44218138124947,-1.671103845507759,.0337613884927579,-11.18340952981535,19.59746788340454,23.7238855157892,0,26.52402040601631,13.8633298566685,18.98729115726203,-27.63363379709349,-49.08493188779124
evreg2,6.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,37.26473060404733,40.07148146955598,0,0,0,0,0,0,0,-.1829065910645388,43.55977178227821,3.931406822270547,1.630647438634933,-.6310204025627478,1.885221733135114,12.41200412587998,-11.53535366275418,-5.503873689953585,-15.77637248076248,23.7238855157892,52.50270796543059,0,41.75021454953663,28.54385338220115,30.03319229014868,-28.9734308070926,-61.84074681785089
evreg2,1o.treat#1o.rice_prod_aclvl_ahigh,0,40.07148146955598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1bn.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,-64.25661034807081,40.07148146955598,0,0,0,0,0,0,0,-.3064587834580186,43.70171793079902,-95.2725725114494,-41.06300728814605,-12.97465543974462,.5306861078385194,2.650441316021627,.9301311133424583,3.873206431199691,-17.36920241864265,26.52402040601631,41.75021454953663,0,520.0901117364106,189.642784546665,129.2206640333814,-174.5744881184241,-466.977897265258
evreg2,2.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,-8.493146162898348,40.07148146955598,0,0,0,0,0,0,0,-.1397317325523301,37.7358688555959,-39.02492678199866,-35.8434606557128,-14.94426252638503,-4.784428682203684,-5.672079435167543,-12.00579452999613,-7.188910184461767,-14.53924567146769,13.8633298566685,28.54385338220115,0,189.642784546665,245.9722742128903,148.6854556258527,-4.556468911609777,33.21304109220594
evreg2,3.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,-17.04473472273006,40.07148146955598,0,0,0,0,0,0,0,-.1570898393321229,25.7677674485471,-7.084634684061944,-12.02031511675636,-25.08304021244968,6.881384441542856,1.637901260764236,-8.679087794257942,-6.576825337468124,-16.93276745679975,18.98729115726203,30.03319229014868,0,129.2206640333814,148.6854556258527,226.4252927837474,-31.17780049175396,100.8251396977607
evreg2,5.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,82.21500797300581,40.07148146955598,0,0,0,0,0,0,0,.1941334098441079,-15.59625359499017,-11.75656849216639,-12.88170563876557,-.0673925252889905,-40.84019565667581,-23.22604843948381,-14.93222719483137,-12.33021706209162,8.629352116297776,-27.63363379709349,-28.9734308070926,0,-174.5744881184241,-4.556468911609777,-31.17780049175396,317.8974500665446,561.2628184961457
evreg2,6.relative_year_bin_aux#1.treat#1.rice_prod_aclvl_ahigh,250.9665162122341,40.07148146955598,0,0,0,0,0,0,0,.3741270524208649,-46.51028262497368,-9.467445605725775,-16.26519189943557,-6.856779085081852,-20.83996760043191,-67.40440992417768,-23.46211531195048,-16.42561352399231,19.57937411531599,-49.08493188779124,-61.84074681785089,0,-466.977897265258,33.21304109220594,100.8251396977607,561.2628184961457,2134.786341214962
