reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49,cov50,cov51,cov52,cov53,cov54,cov55,cov56,cov57,cov58,cov59,cov60,cov61,cov62,cov63,cov64,cov65,cov66,cov67,cov68,cov69,cov70,cov71,cov72,cov73,cov74,cov75,cov76,cov77,cov78,cov79,cov80,cov81,cov82,cov83,cov84,cov85,cov86,cov87,cov88,cov89,cov90,cov91,cov92,cov93,cov94,cov95,cov96,cov97,cov98,cov99,cov100,cov101,cov102,cov103,cov104,cov105,cov106,cov107,cov108,cov109,cov110,cov111,cov112,cov113,cov114,cov115,cov116,cov117,cov118,cov119
evreg1,11o.relative_year_bin_aux,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,12o.relative_year_bin_aux,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,0b.treat,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.treat,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1o.relative_year_bin_aux#0b.treat,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,1.relative_year_bin_aux#1.treat,-23.92258926805665,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3773.781742529972,0,1282.501120146236,0,1168.096932693543,0,998.2444494077656,0,744.6820106242817,0,0,0,341.189634721725,0,425.8108944023267,0,325.3630153406465,0,304.178454787147,0,392.898092540545,0,456.1614592777912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.3662784162690411,349.4576590594093,-608.9925693594598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2o.relative_year_bin_aux#0b.treat,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,2.relative_year_bin_aux#1.treat,-.5688109513124727,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.501120146236,0,1429.187861870935,0,1227.668794959693,0,890.8665651330124,0,760.2289320296056,0,0,0,422.7514002973035,0,510.6029992537094,0,485.8813738396194,0,509.8131986671145,0,544.7203799966334,0,577.7452256213339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0162114786700445,-32.20395240810266,-92.08814775445907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3o.relative_year_bin_aux#0b.treat,0,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evreg1,3.relative_year_bin_aux#1.treat,-78.78076734387959,116.0888407367281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.096932693543,0,1227.668794959693,0,3109.439781697825,0,793.639334040928,0,789.1449738097831,0,0,0,160.0615136830535,0,475.3783962014587,0,404.2907244151704,0,453.4651995946192,0,486.393000616526,0,515.2176037313061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0125194256287171,-100.6966696097418,-14.86781079743872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
