reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49,cov50,cov51,cov52,cov53
evreg2,1bno.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,2o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,3o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,4o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,13o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.rice_prod_aclvl_ahigh,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,wind_direction,-.2783422306910069,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0118027468018429,-2.689309598508489,.9735381168862193,-.2017463198083803,-.8410500934935077,-.6614066897772691,-1.221012784805422,-.8766538843943229,1.00137694293981,1.23699979197091,.566603202377774,.4367900987217053,.8845754844901395,.7648538167990552,-3.99073068069751,-2.748655588373395,-1.97209494530919,-1.354017605731645,-.9583176875628234,-.3162229359020297,.2137420181569085,1.177176428652516,1.858534600402699,2.034748410147076,2.685481104765628,2.996091513466007,0,3.691047996163074,2.992240403873016,2.829662534230184,1.967543069261241,2.681883171592579,1.502103049688032,-2.029711222576144,-1.992779878253241,-.4150453254215799,-1.423256539956103,-.9493112706502276,-1.2060446580209
evreg2,av_wind_speed,368.813911519761,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.689309598508489,4446.68279841345,-79.65276551851474,914.3628670531555,1086.048786662933,1031.411357168886,1490.677572519827,930.7272702510002,-1007.21740881727,-1153.92756662634,-553.1231935261244,-416.2520179647133,-794.9647537388279,-637.5821472120821,4939.753901461801,3602.708505285849,2735.245541374846,1899.111817241984,1160.833817668527,471.1138135017297,-453.4530549923268,-1614.187853029807,-2403.777775639918,-2807.168703886292,-3451.3209110067,-3457.247516971569,0,-5414.432331745214,-4237.684379553319,-3800.338987125039,-3214.997425836499,-3341.659103678435,-2281.044141546925,2122.538902359738,1632.488701818156,363.72897239496,999.5705302214386,303.8047787320869,65.2364065196721
evreg2,1bn.relative_year_bin_aux#1.treat,-43.07475998311597,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9735381168862193,-79.65276551851474,1398.917711321177,658.9403993099804,389.6999288433031,239.3998090243528,181.9145926066411,35.65105617662264,566.4141590348599,860.8936487674601,513.0396411651644,394.6600794100098,474.7902728752172,380.2776397103488,-360.5909430694394,-286.454698256216,-319.1495438525406,-216.0173405181937,-104.064127348159,-61.49299310986903,-190.1356626371927,-75.15160429023622,133.8518231667724,186.1373662566905,438.547080772696,424.9828305475694,0,-589.331583129861,-375.2335737450653,-155.0975886691447,-227.4264534371226,-131.1061790293129,32.32696114664569,-1044.27078938762,-1465.474308143047,-660.9425410376243,-1189.059662626692,-850.199776812064,-709.9423046457207
evreg2,2.relative_year_bin_aux#1.treat,104.8704594408029,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2017463198083803,914.3628670531555,658.9403993099804,688.1315834061512,592.0950152785576,510.505087662473,456.7711767759841,295.3565998676473,122.4247817378263,219.5147594688233,218.940191890638,199.2298671174055,149.2664824359677,125.1866786933409,923.853632857419,591.8549237364375,408.6766620261677,270.450455824307,156.9828803603128,69.31022837571064,-209.6452887875072,-400.4929141373497,-472.8492359847593,-517.8914786357586,-525.2920426897108,-481.9063642434364,0,-1412.67858520054,-1084.42689893708,-1014.373555013415,-899.0629735343074,-706.9431710329302,-408.7856840276521,-104.3176552429235,-353.3247702897177,-289.454365343506,-395.9874955412411,-518.2337761123557,-451.0118753658245
evreg2,3.relative_year_bin_aux#1.treat,170.7826151151209,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.8410500934935077,1086.048786662933,389.6999288433031,592.0950152785576,769.5643552275794,637.1558934956172,504.7871804217576,372.1256870453848,-122.2273393699437,-32.57182764710126,143.8868196725767,153.0050301082459,29.90339896141468,37.54931514384084,1427.426858846887,908.7892219899195,594.3112558239267,401.818842241412,260.4390237842401,114.9703231291121,-188.7241263705553,-528.3423303713143,-696.0761670524713,-740.6596918229923,-838.5139854020485,-882.7249124035361,0,-1752.365994844998,-1350.35768178062,-1275.74432275951,-1064.613060955741,-873.5092171471454,-482.456092424584,395.5803411357611,121.7549538367831,-165.0342801874992,-65.49906398295249,-301.9152501657224,-264.7734787545079
evreg2,4.relative_year_bin_aux#1.treat,131.8532654258313,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.6614066897772691,1031.411357168886,239.3998090243528,510.505087662473,637.1558934956172,783.2502308850136,527.0939148852476,311.2371987151631,-173.7234715911089,-98.72967387106399,48.56373116051443,79.29219967216721,3.53583142629855,-10.40780529242099,1337.473215382202,926.1373229013575,595.2292327138043,368.6508188706268,198.4266740717567,126.1323580552598,-168.5483537216055,-475.9708190884672,-657.0605245123248,-713.2808483242661,-737.3063209931325,-640.0640403733067,0,-1433.939438657815,-1243.674707299121,-1104.231914368313,-1073.763386624392,-713.2246439897057,-440.7182717380072,404.3667396421197,248.2859456906332,-6.100824285483394,-36.72931557297813,-372.6131463948155,-403.3603544251887
evreg2,5.relative_year_bin_aux#1.treat,136.0794018464982,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.221012784805422,1490.677572519827,181.9145926066411,456.7711767759841,504.7871804217576,527.0939148852476,842.2709599619208,394.3142800724683,-215.2065605855656,-346.2185252846655,-209.0853202652378,-170.9016863932636,-297.0756981754342,-246.8940028030431,2040.396126680868,1542.772666127285,1161.475354359803,818.4866332394911,544.9312374073477,216.1896758150033,-226.8054480422383,-676.3108691542901,-1000.274226995814,-1185.112094712509,-1434.104603432822,-1500.587697840172,0,-2308.181459253177,-1894.61712497791,-1661.778414657575,-1424.858444580446,-1718.006544632274,-1146.925824172316,509.0876361061954,486.6008003912472,162.6285587280685,319.2693749915736,130.5691998698607,71.03014061210493
evreg2,6.relative_year_bin_aux#1.treat,113.5599848067235,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.8766538843943229,930.7272702510002,35.65105617662264,295.3565998676473,372.1256870453848,311.2371987151631,394.3142800724683,464.2254547648796,-109.5279335630733,-192.9327050195992,8.295949551101941,29.26314342193358,-33.94661808508416,25.91015705434287,1273.819453077451,903.0466117524237,681.8503644596773,466.7676335305722,279.710602611153,118.285412666529,-133.4961107554593,-403.874019393377,-621.8923870632624,-723.7212316644938,-872.1188084974901,-871.9249473982779,0,-1441.047547854664,-1143.978896179631,-1067.724620822748,-818.5999999768781,-855.677466177765,-675.1336626562746,387.1350309563257,365.4211017244601,-30.12410647478948,171.3920450903948,-57.72080505498624,-146.1217113217913
evreg2,8.relative_year_bin_aux#1.treat,-98.72522321150392,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00137694293981,-1007.21740881727,566.4141590348599,122.4247817378263,-122.2273393699437,-173.7234715911089,-215.2065605855656,-109.5279335630733,806.5173000511205,730.4065298393713,376.8114305785776,282.4311247439762,418.0452564025176,320.1102958103734,-1618.023159660247,-1198.765029599746,-884.4882911300953,-592.3242835831826,-359.2355757342289,-154.6363478817999,18.64644118630122,442.5828368367584,740.3489800550611,863.7660641161037,1104.309512665807,1120.564164882361,0,1232.918978778165,1007.802602000903,869.4059313939684,616.3725640855156,576.60998082687,209.8122624017793,-1469.495702183134,-1220.026851010551,-502.8946270774246,-790.2536576077229,-559.0157226365981,-401.1035084711299
evreg2,9.relative_year_bin_aux#1.treat,-61.91581623636401,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23699979197091,-1153.92756662634,860.8936487674601,219.5147594688233,-32.57182764710126,-98.72967387106399,-346.2185252846655,-192.9327050195992,730.4065298393713,1149.956465181081,646.6189794685554,474.5566205842813,641.3272640751064,512.9958778024893,-2113.433125231702,-1537.603241940333,-1220.152036127117,-835.8027686743976,-527.0007874460936,-227.4590321466532,31.00518120998393,466.2256385243219,933.9775210715208,1118.978200524962,1540.39966565698,1638.097351501422,0,1573.8554825849,1216.38504786753,1155.86401374119,813.8256976735897,995.2748692660648,535.1329106599406,-1387.516155885363,-1830.572512953854,-730.1093157929258,-1269.097879459437,-881.0623581117259,-728.506354375389
evreg2,10.relative_year_bin_aux#1.treat,14.70062367306166,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.566603202377774,-553.1231935261244,513.0396411651644,218.940191890638,143.8868196725767,48.56373116051443,-209.0853202652378,8.295949551101941,376.8114305785776,646.6189794685554,523.7385908616145,418.660714756707,491.6238278519578,429.8766590258892,-987.4609532185981,-794.9596656657181,-683.8143564620166,-492.7400870186797,-309.153004146437,-126.2990915331597,3.27070588711004,227.0052697904291,457.2816576162019,607.5829459418956,863.7666185900065,926.1086909341717,0,663.0554587126053,531.3131497797962,521.4378067811579,452.6427829932941,633.0033470068647,377.178061519175,-609.6608343519263,-925.5466055382914,-588.6497739343442,-821.5146980960467,-656.3064565526598,-564.9668126542633
