reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41,cov42,cov43,cov44,cov45,cov46,cov47,cov48,cov49,cov50,cov51
evreg2,5o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,6o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,8o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,9o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,10o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,11o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,12o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,13o.relative_year_bin_aux,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.treat,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1o.rice_prod_aclvl_ahigh,0,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1bn.relative_year_bin_aux#1.treat,2.244764347698151,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427.545263364556,724.1667864886836,322.8099506123264,219.6376254076643,202.3503972592227,-22.6424507135308,480.3367735082869,765.2834914954694,479.1296566984768,419.5996448528169,415.2693879659027,298.9359652149735,10.99955132644483,-28.74371960703372,-151.0196335154252,-96.99671460939129,-24.93837910435152,-35.82691620708512,-205.5819391666721,-163.8748577137302,-3.906256961968641,36.64930768326572,250.827169418892,235.7497046557762,0,-911.1346824203764,-663.728981379023,-281.5194492117669,-334.811075407183,-284.4417315501758,1.763771789693146,-866.2366572304857,-1335.585271031232,-610.6620374773291,-1102.571092371742,-759.9972114092956,-616.1277105835004
evreg2,2.relative_year_bin_aux#1.treat,142.8058947773362,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.1667864886836,735.1361559157766,605.54877653569,576.8536565637017,521.7213615457019,225.5462103834201,168.6414198857849,317.5433278618946,353.0966081763298,352.0469971267228,253.0850885960743,148.8328943850695,1157.060234400737,803.220637131791,556.477053615349,362.8318481970049,218.4500304525501,85.48314270779677,-233.4869726825966,-455.0289760211276,-567.021682238435,-655.3275790699564,-703.0184395296417,-688.8124776307692,0,-1725.996184782633,-1392.12133802546,-1220.479560819862,-1025.004621465011,-852.0072418488463,-495.1743232916312,-50.40591342303,-328.3638538943459,-236.9036448078851,-360.1809226439674,-420.9794467462143,-320.6553442518037
evreg2,3.relative_year_bin_aux#1.treat,223.0201723895578,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.8099506123264,605.54877653569,952.7933403283923,879.2516478620877,743.7019136674874,448.1681096848811,-175.465033208436,-76.27655424569554,269.527302540809,336.2574961273065,119.570590739705,33.22810855420063,2299.680850053013,1602.82250010636,1122.444141388101,750.511581569044,478.1086898655284,200.6683358905507,-241.9095081479608,-752.6801547193949,-1096.844703842068,-1248.696843029558,-1489.640558061138,-1576.501006529126,0,-2721.61775894568,-2137.257743287373,-2004.719164991853,-1564.624517250193,-1402.670688283367,-820.9383081871191,776.8935018061641,509.7410167614843,5.669282290983025,201.0333974541687,-71.62204663620223,-14.5324318566589
evreg2,4.relative_year_bin_aux#1.treat,192.7716630645753,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.6376254076643,576.8536565637017,879.2516478620877,948.0426496642963,769.3438404020004,451.0048979173752,-174.1977970459009,-111.1824007605632,227.7891940881188,302.8530461641371,126.2812095714986,54.16197229979979,2252.881500911681,1603.922137382195,1136.821226912655,734.9187579545563,444.0511902456706,214.0690873554104,-231.4984935301042,-713.5967191525405,-1071.026148883819,-1229.773326378258,-1424.811665642436,-1409.508785290564,0,-2543.351663622886,-2062.111148974424,-1915.594382482578,-1560.827302346849,-1354.821281962783,-878.648120337045,738.5173109979704,575.9928143793903,58.44666082817576,195.4787537154915,-158.0499387914956,-173.8546798949833
evreg2,5.relative_year_bin_aux#1.treat,161.8871006654722,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.3503972592227,521.7213615457019,743.7019136674874,769.3438404020004,946.647682475057,461.8744124761971,-174.1773519814238,-202.6631959387039,83.72003046587345,137.9867667155372,-42.78624891370117,-67.86422170596857,2390.293278795066,1774.671612081699,1343.188355972333,938.4423254275499,615.9291353496731,243.4105811409356,-244.1672542442311,-742.2489736626876,-1138.891584952144,-1353.971897428572,-1675.691778655391,-1765.279563604142,0,-2780.861634583743,-2218.644398088352,-2014.862067704239,-1620.194943331954,-1846.668064166464,-1321.049096557015,683.3908190845461,615.0800036516489,112.1868690487863,384.1114321055616,175.3972637595208,121.5860662394646
evreg2,6.relative_year_bin_aux#1.treat,128.5073144282307,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.6424507135308,225.5462103834201,448.1681096848811,451.0048979173752,461.8744124761971,406.4183586726913,-140.7161950011737,-190.3693778814976,73.38559644049052,138.3753621570474,31.7577638385379,64.9360625180522,1478.535860184199,999.6433846891639,744.1768475079189,510.6146753524334,316.7094902374526,136.5788761556978,-129.7495195170936,-419.9057714794792,-674.4818149284717,-772.0869763432096,-961.6856106317509,-998.3596261598188,0,-1622.14002594751,-1189.438080181196,-1135.576488341052,-855.5911702914254,-884.8498924799555,-660.3402009704637,529.5521796281973,534.7380801823525,19.1663479384243,286.6160496215959,64.42109737903735,-11.87377758844663
evreg2,8.relative_year_bin_aux#1.treat,-70.60978070273887,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.3367735082869,168.6414198857849,-175.465033208436,-174.1977970459009,-174.1773519814238,-140.7161950011737,523.2820159490446,460.0869663964816,169.6732155885185,143.8657216310627,204.5715849373676,131.3875286462871,-1185.227896133134,-874.6584693185963,-649.9702724414063,-439.0913999574724,-279.8404841417057,-123.7692682970443,-11.87173935606189,295.7420222820402,521.4514368839106,606.3086357494509,794.3257572496386,821.0856325901909,0,900.9456921679393,684.3724874241619,614.6059848785624,374.6910755143866,409.0706797203352,250.3748103697668,-1136.42551911669,-967.302194105071,-343.8108867765532,-638.5443646890259,-474.0978610062801,-320.3820875616216
evreg2,9.relative_year_bin_aux#1.treat,-9.043259929387769,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765.2834914954694,317.5433278618946,-76.27655424569554,-111.1824007605632,-202.6631959387039,-190.3693778814976,460.0869663964816,735.5154627350116,340.993404740833,254.1552151435515,333.387261643011,215.7008577514738,-1285.721455007274,-944.7788996985437,-776.8903127861851,-526.0242048447645,-340.6537962948814,-154.8950780989859,-33.18332185490939,212.4061786063494,544.418495394989,659.4475904525112,960.0898902143844,1036.850781933795,0,899.5144401249383,620.8775518769543,684.4648608085007,390.0377801525117,564.6135938896751,371.5133081029866,-992.8566183048742,-1376.164237631488,-483.9246846443977,-960.2317636537925,-702.900473272021,-538.2746364737631
evreg2,10.relative_year_bin_aux#1.treat,83.50627239814354,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.1296566984768,353.0966081763298,269.527302540809,227.7891940881188,83.72003046587345,73.38559644049052,169.6732155885185,340.993404740833,333.8497613926264,316.8852440804535,284.3585864784293,207.7057973483729,102.664156755475,-31.21555337499985,-107.543767416172,-84.68265668141824,-57.32332687926544,-24.60076895893555,-88.30755891917539,-100.4238529634938,-47.80242937537321,11.65427471144287,105.0284126981964,138.0527507994901,0,-396.1826732610522,-283.8232150934507,-214.4655449609965,-198.5681328977119,-25.07544361594382,67.09782374657483,-194.4067645841997,-473.7898839282229,-359.1952931263348,-485.5801388934215,-484.7952111547931,-373.3484222170079
evreg2,11.relative_year_bin_aux#1.treat,105.827551545401,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.5996448528169,352.0469971267228,336.2574961273065,302.8530461641371,137.9867667155372,138.3753621570474,143.8657216310627,254.1552151435515,316.8852440804535,356.9512447450896,294.4798038149397,209.4943792593319,425.5055556677532,162.8256481787905,17.80262518294285,-17.03581720917632,-7.359217230483195,4.565788080103413,-99.61573146420916,-145.2706748189328,-155.0445558736448,-96.69105113411935,-22.30209913951976,-2.619270269994147,0,-722.9114832809153,-489.3918375952911,-392.3057279562644,-303.2487965108527,-145.2300315724403,-10.80942613666231,-122.036646054818,-283.4275207469751,-362.3375049010048,-437.8410102518681,-480.3164762953551,-364.0405376005689
evreg2,12.relative_year_bin_aux#1.treat,115.5528105793221,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.2693879659027,253.0850885960743,119.570590739705,126.2812095714986,-42.78624891370117,31.7577638385379,204.5715849373676,333.387261643011,284.3585864784293,294.4798038149397,363.1852384012931,263.108082094778,-203.8066831069147,-236.9821264606158,-265.4933445772418,-216.8613705934355,-165.6239265600362,-58.22707746247426,-55.57482061733078,28.9601830085256,120.1632183158071,199.1869459460046,373.2450544411678,466.7452277081695,0,-14.79547114688686,-9.169903488657441,85.42105091735351,42.72948570090647,300.3069649668651,275.9085153361081,-354.2071103111066,-495.4814350489866,-360.7831128956452,-568.4803319118239,-593.2240199882862,-465.9545283051366
evreg2,13.relative_year_bin_aux#1.treat,100.2777931055601,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.9359652149735,148.8328943850695,33.22810855420063,54.16197229979979,-67.86422170596857,64.9360625180522,131.3875286462871,215.7008577514738,207.7057973483729,209.4943792593319,263.108082094778,350.972231295486,-77.73109232363325,-169.0740419857425,-185.4784140939498,-142.1455635088602,-105.3724439831275,-28.63746363039662,-44.22769000815971,37.69116803584665,92.35404051762525,161.1313739616893,284.1348331040961,365.3674133968951,0,-1.804148768440721,76.64829413154884,161.8214456151772,135.5894442807114,249.2473378568466,247.2913958638732,-215.3362565068646,-289.7939734410143,-276.8874024115692,-389.279106457371,-404.3337298975343,-517.8326628851412
evreg2,1bn.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,585.3300338751945,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99955132644483,1157.060234400737,2299.680850053013,2252.881500911681,2390.293278795066,1478.535860184199,-1185.227896133134,-1285.721455007274,102.664156755475,425.5055556677532,-203.8066831069147,-77.73109232363325,9463.339550398536,6385.592784557502,4625.183005365826,3159.699468084716,2103.302821101712,921.7378357038602,-695.1496453149268,-2490.576153459785,-3970.620795962824,-4507.831699335415,-5597.987972929588,-5952.366398021974,0,-9927.900191339917,-7081.818250570258,-6209.716409045125,-4590.913261789743,-4904.988420973796,-3047.370731722966,3505.841676118899,3494.723977803696,579.2907777423757,1914.986931353052,1009.135295908456,721.1105927538415
evreg2,2.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,366.4711355525256,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.74371960703372,803.220637131791,1602.82250010636,1603.922137382195,1774.671612081699,999.6433846891639,-874.6584693185963,-944.7788996985437,-31.21555337499985,162.8256481787905,-236.9821264606158,-169.0740419857425,6385.592784557502,4721.246066720824,3471.086886046285,2329.330633702425,1512.301798746052,640.5440653247578,-500.0881687544376,-1803.267811191149,-2880.252450611862,-3414.916932862287,-4185.552279247549,-4440.660285857957,0,-6804.676802671701,-5364.455427381366,-4688.808002429044,-3446.108946094897,-3643.729553060849,-2342.957022036788,2502.568616964649,2433.802846577077,718.4681189955045,1408.580192043356,920.6231978576074,691.6105380922721
evreg2,3.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,225.9477206518319,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.0196335154252,556.477053615349,1122.444141388101,1136.821226912655,1343.188355972333,744.1768475079189,-649.9702724414063,-776.8903127861851,-107.543767416172,17.80262518294285,-265.4933445772418,-185.4784140939498,4625.183005365826,3471.086886046285,2666.726203131502,1805.550868391229,1154.458526407917,478.6463838586507,-359.8373802664313,-1326.351039841603,-2146.331337937362,-2607.182909827623,-3252.956857483349,-3435.803184628861,0,-4893.513998590661,-3871.796621400223,-3552.530912303583,-2611.471247495571,-2801.627785661051,-1828.216660489628,1869.380124661907,1884.797596903395,674.1764303583969,1233.519501615478,824.9928649484234,640.1194077233914
evreg2,4.relative_year_bin_aux#1.rice_prod_aclvl_ahigh,119.1357732646647,93.64657635546959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.99671460939129,362.8318481970049,750.511581569044,734.9187579545563,938.4423254275499,510.6146753524334,-439.0913999574724,-526.0242048447645,-84.68265668141824,-17.03581720917632,-216.8613705934355,-142.1455635088602,3159.699468084716,2329.330633702425,1805.550868391229,1276.763159775387,822.7841835109342,334.6395876235215,-246.9388748014619,-906.5066007617422,-1456.905278077916,-1762.468270730056,-2255.457080058759,-2404.74515644244,0,-3350.987558715862,-2570.66825632226,-2364.618963084108,-1810.152566013892,-2003.512333596154,-1338.757951997878,1257.379120423839,1256.066675049182,418.9218774461729,912.9491988882635,599.2766293504957,437.4698259127043
