reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9
evreg3,1.post_,-86.11769884458228,11.56239979220863,-7.448081747061975,1.06904476634e-13,***,133.6890889548661,0,-9.884021043733686,.2196233095848207,-13.88331525353321,-.3407602185736136,21.75818126963556,2.285888279214099,-15.43137753777222
evreg3,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0
evreg3,1.moderator,148.7444400931349,28.46609009137904,5.225320358913013,1.79232318943e-07,***,-9.884021043733686,0,810.3182850905082,-.0774793292577294,3.407684061098003,-.718896769895102,-6.246715198488037,-810.2204020720554,6.475179858717079
evreg3,wind_direction,-1.871590070658288,.0678006573803728,-27.60430566562741,9.2884284730e-159,***,.2196233095848207,0,-.0774793292577294,.0045969291412107,-.2597016727799149,.0025806516580924,.0669751105678747,.0915877675294339,-.0684963750977296
evreg3,av_wind_speed,139.9420381465188,4.97656242187124,28.12022160748847,2.4006241024e-164,***,-13.88331525353321,0,3.407684061098003,-.2597016727799149,24.76617353878094,.0650115254713775,-3.853581916935371,-3.932882799815196,4.718736452363204
evreg3,1.post_#1.treat,-5.180981491676162,2.242862998974859,-2.309985716490139,.0209199231492376,**,-.3407602185736136,0,-.718896769895102,.0025806516580924,.0650115254713775,5.030434432170497,2.047256504813422,3.572121883607177,-4.874467867068637
evreg3,1.post_#1.moderator,-26.23554055198712,3.965502230965015,-6.615943964707501,3.98421143232e-11,***,21.75818126963556,0,-6.246715198488037,.0669751105678747,-3.853581916935371,2.047256504813422,15.72520794378851,6.174557822558556,-16.16606434065293
evreg3,1.treat#1.moderator,-142.1102918560783,29.31118277336877,-4.848330173328772,1.27380625462e-06,***,2.285888279214099,0,-810.2204020720554,.0915877675294339,-3.932882799815196,3.572121883607177,6.174557822558556,859.1454355738302,-13.59279594674928
evreg3,1.post_#1.treat#1.moderator,34.5367688059837,5.539251298047325,6.234916407955433,4.80192575872e-10,***,-15.43137753777222,0,6.475179858717079,-.0684963750977296,4.718736452363204,-4.874467867068637,-16.16606434065293,-13.59279594674928,30.68330494291897
evreg4,1.post_,-89.79317121838054,11.59921696209864,-7.7413131862079,1.13289775907e-14,***,134.5418341338369,0,-7.995516304776664,.2247776242025288,-14.27589329441325,-.3406826334598715,20.36220385734664,1.385305170203201,-14.45554977824903
evreg4,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0
evreg4,1.moderator,29.88975865984317,8.644729718127007,3.457570061116864,.0005485406932939,***,-7.995516304776664,0,74.73135189946822,-.0533805359125281,2.838906268905761,-.5909507306388556,-4.773268764203598,-73.11336440349848,5.081940520255068
evreg4,wind_direction,-1.871310828271901,.0677938603237919,-27.60295429902189,9.6044229814e-159,***,.2247776242025288,0,-.0533805359125281,.0045960074976018,-.2596679259947917,-.0008236507537531,.0574466269212049,.036990664673029,-.0588737340391242
evreg4,av_wind_speed,139.9309524469827,4.976507824336749,28.11830250977897,2.5191796705e-164,***,-14.27589329441325,0,2.838906268905761,-.2596679259947917,24.76563012568488,.2290824170272683,-3.070877180260365,-1.708255063692998,4.129515795317614
evreg4,1.post_#1.treat,-2.712389753064029,2.187908087749076,-1.239718326492655,.2151240706833658,,-.3406826334598715,0,-.5909507306388556,-.0008236507537531,.2290824170272683,4.786941800437819,1.787268669308816,4.124935209521241,-4.520623860691656
evreg4,1.post_#1.moderator,-16.78520388912479,3.514835623814878,-4.775530262466932,1.83137737315e-06,***,20.36220385734664,0,-4.773268764203598,.0574466269212049,-3.070877180260365,1.787268669308816,12.35406946243812,4.231354568668891,-13.62944556914727
evreg4,1.treat#1.moderator,-10.40128233188927,11.40983130550533,-.9116070214702099,.3620092193020785,,1.385305170203201,0,-73.11336440349848,.036990664673029,-1.708255063692998,4.124935209521241,4.231354568668891,130.1842504200894,-10.61370306549331
evreg4,1.post_#1.treat#1.moderator,26.6492552943315,5.318573388783467,5.010602157062095,5.56845760420e-07,***,-14.45554977824903,0,5.081940520255068,-.0588737340391242,4.129515795317614,-4.520623860691656,-13.62944556914727,-10.61370306549331,28.28722289187565
