reg,var,beta,ymean,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25
evreg2,1bn.relative_year_bin_aux#1.downup_ac_pop,1.599381426849388,473.1087377897488,0,0,0,0,0,0,-.3165940679856136,.0002591782635349,-.1091169830393004,.9397954975863076,.3097176604919207,.0259834601259715,-.2863963584832717,-.7462589901313033,.9809736067414314,.4978769052251177,.324375214768055,.3128167769722241,.0156963946146241,.6354208290853561,-1.772878575329005,-.145788889440721,.2972118418426075,.5927467918060003,2.857458083902431
evreg2,2.relative_year_bin_aux#1.downup_ac_pop,1.807775428179687,473.1087377897488,0,0,0,0,0,0,-.4283883453390778,.0006292670748984,-.1795820658231061,.1537749396295957,.0526709544362863,.3556922041265483,-.0184151640902863,.7197177552269903,.4978769052251177,.792490203985069,.4928620199308872,.4227550846751198,.5781870523768312,.2727385975045155,-.4264214676320509,-.6191570334277609,-.4047223551295038,-.1258572722302399,-.1574980376025758
evreg2,3.relative_year_bin_aux#1.downup_ac_pop,-.8536721514681206,473.1087377897488,0,0,0,0,0,0,-.5307190125689503,.0007740508708256,-.1676472588705346,-.1867206890556888,-.0595843089243276,.9421640320473488,.3730443889903333,1.874977808976178,.324375214768055,.4928620199308872,.7486121227398612,.3597833042450627,.7453235049185111,.7424429100460523,-.0092511653546135,-.4730015655416512,-1.427307140682001,-.4736037331682978,-2.349925440344506
evreg2,5.relative_year_bin_aux#1.downup_ac_pop,-.5306386296215879,473.1087377897488,0,0,0,0,0,0,-.3474485896600616,-.0013307642796792,.0163331023422671,.0921981819416069,.3385226598215216,.9991200918860994,.9813331196831862,1.387013583362779,.3128167769722241,.4227550846751198,.3597833042450627,1.298558032519563,.9050183485390592,-.2061408153242225,-.1480308769070963,-1.098528666841596,-1.665632587544756,-2.443782978874275,-3.192610733517333
evreg2,6.relative_year_bin_aux#1.downup_ac_pop,-3.056310370771651,473.1087377897488,0,0,0,0,0,0,-.8203130866235664,-.0000830233681483,-.230568010589866,-.4936649370413449,1.376362518481726,3.287221042514103,.8946602738453301,5.748408396265797,.0156963946146241,.5781870523768312,.7453235049185111,.9050183485390592,5.0838162889377,.6199182014827542,1.113757842659382,-1.471694750893054,-3.898049741748848,-2.446760198487609,-11.786131967521
evreg2,1.treat#1.downup_ac_pop,-31.08307945429137,473.1087377897488,0,0,0,0,0,0,-4.499419477168713,.0373529256818758,-3.661681037810412,84.19626396188168,65.38363008555851,90.56526219691462,19.82406838520108,219.8206466606035,.6354208290853561,.2727385975045155,.7424429100460523,-.2061408153242225,.6199182014827542,1053.215006242202,-118.3362031356019,-35.60270896536561,-100.6975579241232,59.43039254323685,-262.4715035921835
evreg2,1bn.relative_year_bin_aux#1.treat#1.downup_ac_pop,2.830423805031909,473.1087377897488,0,0,0,0,0,0,.2018251674787203,-.015147997129988,1.202884612990583,-211.0060419566692,-43.04385945332672,1.665102217730852,36.93485999340795,140.1946325062186,-1.772878575329005,-.4264214676320509,-.0092511653546135,-.1480308769070963,1.113757842659382,-118.3362031356019,450.3232265818835,95.77851623554724,29.52303371339489,-60.41839302791979,-249.2727029499352
evreg2,2.relative_year_bin_aux#1.treat#1.downup_ac_pop,26.07636505541511,473.1087377897488,0,0,0,0,0,0,.0889358126969733,-.0018009469290156,.857530504616833,-66.59988802291893,-126.6678561669357,-78.87910028448344,-33.04041179300027,-70.43496650273704,-.145788889440721,-.6191570334277609,-.4730015655416512,-1.098528666841596,-1.471694750893054,-35.60270896536561,95.77851623554724,290.0039310075165,146.232224941192,90.20825772525832,187.2764000504998
evreg2,3.relative_year_bin_aux#1.treat#1.downup_ac_pop,1.005411765913745,473.1087377897488,0,0,0,0,0,0,.6907305474694294,-.008131657354534,1.812498431280407,-.2257074175862458,-74.7642022116253,-188.5502149504197,-84.56853991851442,-293.6037279101714,.2972118418426075,-.4047223551295038,-1.427307140682001,-1.665632587544756,-3.898049741748848,-100.6975579241232,29.52303371339489,146.232224941192,340.8237927598383,149.7032072471826,505.8381244340945
evreg2,5.relative_year_bin_aux#1.treat#1.downup_ac_pop,9.717386811967001,473.1087377897488,0,0,0,0,0,0,-.1263410642925307,.0007400604723199,.1817585635372912,29.61384287459209,-48.9333795304497,-93.6287674146449,-118.9911160285336,-168.4513430563894,.5927467918060003,-.1258572722302399,-.4736037331682978,-2.443782978874275,-2.446760198487609,59.43039254323685,-60.41839302791979,90.20825772525832,149.7032072471826,247.3447752651007,381.0281961220541
