fe_id,model,version,time,beta,lower,upper
2,baseline,rotated,4,10.7711807771198,-6.08671241173294,27.6290739659725
3,baseline,original,-5,-3.43185749536559,-22.5272648038501,15.6635498131189
3,baseline,original,-4,24.1893208127718,7.12245243796404,41.2561891875796
3,baseline,original,-3,30.4232859223284,12.4295784332938,48.416993411363
3,baseline,original,-2,18.4134815228615,1.39319172589681,35.4337713198261
3,baseline,original,-1,0,0,0
3,baseline,original,0,51.224257067988,33.9194219773733,68.5290921586027
3,baseline,original,1,47.9252427455214,31.4332631804291,64.4172223106138
3,baseline,original,2,50.9434051420185,32.0744793999228,69.8123308841141
3,baseline,original,3,29.0706758669137,9.58233072903055,48.5590210047968
3,baseline,original,4,20.9755576189347,0.915659591569739,41.0354556462997
3,baseline,rotated,-5,-21.8452689386151,-40.9406762470996,-2.74986163013057
3,baseline,rotated,-4,10.3792622303347,-6.68760614447309,27.4461306051424
3,baseline,rotated,-3,21.2165802007036,3.22287271166906,39.2102876897382
3,baseline,rotated,-2,13.8101286620491,-3.21016113491557,30.8304184590138
3,baseline,rotated,-1,0,0,0
3,baseline,rotated,0,55.8276099288004,38.5227748381857,73.1324450194151
3,baseline,rotated,1,57.1319484671462,40.6399689020539,73.6239280322385
3,baseline,rotated,2,64.7534637244556,45.88453798236,83.6223894665513
3,baseline,rotated,3,47.4840873101632,27.9957421722801,66.9724324480463
3,baseline,rotated,4,43.9923219229966,23.9324238956316,64.0522199503616
4,baseline,original,-5,5.33826860567988,-15.6858651732287,26.3624023845885
4,baseline,original,-4,29.6495862662333,13.9215594367324,45.3776130957342
4,baseline,original,-3,35.1086961055139,16.3400133287878,53.87737888224
4,baseline,original,-2,21.1021785851851,4.49791500708016,37.7064421632901
4,baseline,original,-1,0,0,0
4,baseline,original,0,55.9384003314127,38.1792533189375,73.6975473438879
4,baseline,original,1,53.1122749925329,35.6047789526729,70.6197710323928
4,baseline,original,2,56.9948396902522,36.5488078492118,77.4408715312925
4,baseline,original,3,36.4787632604517,16.6676786513299,56.2898478695736
4,baseline,original,4,28.5343144614916,8.06886430321604,48.9997646197672
4,baseline,rotated,-5,-21.5445852633378,-42.5687190422464,-0.520451484429184
4,baseline,rotated,-4,9.48744586447007,-6.24058096503085,25.215472693971
4,baseline,rotated,-3,21.6672691710051,2.89858639427901,40.4359519477311
4,baseline,rotated,-2,14.3814651179307,-2.22279846017425,30.9857286960357
4,baseline,rotated,-1,0,0,0
4,baseline,rotated,0,62.6591137986671,44.8999667861919,80.4182608111423
4,baseline,rotated,1,66.5537019270417,49.0462058871818,84.0611979669016
4,baseline,rotated,2,77.1569800920154,56.7109482509751,97.6030119330557
4,baseline,rotated,3,63.3616171294694,43.5505325203475,83.1727017385913
4,baseline,rotated,4,62.1378817977637,41.6724316394881,82.6033319560392
5,baseline,original,-5,7.74782964695025,-13.0224632350825,28.518122528983
5,baseline,original,-4,32.0275131026976,16.0342801957769,48.0207460096182
5,baseline,original,-3,35.9583663716225,17.1283504008911,54.7883823423539
5,baseline,original,-2,21.0887359541417,4.48884745355828,37.6886244547251
5,baseline,original,-1,0,0,0
5,baseline,original,0,37.385575209946,22.8480851289363,51.9230652909558
5,baseline,original,1,40.1721501218432,24.957945157592,55.3863550860945
5,baseline,original,2,42.3613059498345,25.3798346241455,59.3427772755236
5,baseline,original,3,21.0781899585669,1.85370099292866,40.3026789242052
5,baseline,original,4,13.1303264812097,-6.75862911397753,33.0192820763969
5,baseline,rotated,-5,-21.5960805654871,-42.3663734475199,-0.825787683454358
5,baseline,rotated,-4,10.0195804433695,-5.97365246355112,26.0128133502902
5,baseline,rotated,-3,21.2864112654038,2.4563952946724,40.1164272361352
