fe_id,control_sample,version,period,estimate,se,lower,upper
30,never,original,pre,54.02690830507,34.2585576771613,-13.1198647421662,121.173681352306
30,never,original,post,63.2713870655218,46.5161722562255,-27.9003105566803,154.443084687724
30,never,rotated,pre,10.9700877260039,8.93220744161851,-6.53703885956842,28.4772143115762
30,never,rotated,post,79.4176947826716,54.2000405977118,-26.8143847888436,185.649774354187
31,never,original,pre,52.6695528304919,34.7650788511186,-15.4700017177006,120.809107378684
31,never,original,post,50.3758545639608,47.6844524192313,-43.0856721777325,143.837381305654
31,never,rotated,pre,9.45743405640205,9.06523403463944,-8.31042465149126,27.2252927642954
31,never,rotated,post,66.5803991042445,55.5534235675461,-42.3043110881459,175.465109296635
32,never,original,pre,54.0187472082557,34.259260819676,-13.1294039983093,121.166898414821
32,never,original,post,63.2593590848856,46.5173158981855,-27.9145800755579,154.433298245329
32,never,rotated,pre,10.9681090775758,8.93238868189684,-6.53937273894198,28.4755908940936
32,never,rotated,post,79.4033483838905,54.2013766705301,-26.8313498903485,185.63804665813
1,both,original,pre,54.1727301465412,36.6650965327914,-17.69085905773,126.036319350812
1,both,original,post,32.6232796908548,49.5459008770645,-64.4866860281917,129.733245409901
1,both,rotated,pre,1.31267657495811,9.44605156315278,-17.2015844888213,19.8269376387376
1,both,rotated,post,52.4457997801984,57.3781507302987,-60.0153756511871,164.906975211584
2,both,original,pre,53.622744638169,35.5696267680499,-16.0937238272088,123.339213103547
2,both,original,post,28.2097058564094,48.0407391351967,-65.9501428485762,122.369554561395
2,both,rotated,pre,1.06191292593504,9.19904483407246,-16.968214948847,19.0920408007171
2,both,rotated,post,47.9200177484971,55.5095082359494,-60.8786183939637,156.718653890958
3,both,original,pre,26.239552218306,36.2921945433775,-44.8931490867139,97.3722535233258
3,both,original,post,44.3032981347595,49.5262665567622,-52.7681843164944,141.374780586013
3,both,rotated,pre,1.32685347706485,9.44465150130831,-17.1846634654994,19.8383704196291
3,both,rotated,post,53.645560162725,57.174162697831,-58.4157987250239,165.706919050474
4,both,original,pre,51.5532785278269,36.6146478925948,-20.2114313416589,123.317988397313
4,both,original,post,29.3609050009249,49.4657311323191,-67.5919280184205,126.31373802027
4,both,rotated,pre,0.687116807396057,9.40776109075741,-17.7520949304885,19.1263285452806
4,both,rotated,post,48.4357156460865,57.3333611331989,-63.9376721749834,160.809103467156
5,both,original,pre,17.2214622839222,35.8680570014449,-53.0799294389098,87.5228540067543
5,both,original,post,77.9435976498027,47.9065993887269,-15.9533371521021,171.840532451707
5,both,rotated,pre,0.22084208596108,9.28329989344419,-17.9744257051895,18.4161098771117
5,both,rotated,post,84.3188302240381,55.7407982004612,-24.9331342488657,193.570794696942
6,both,original,pre,50.6550525910767,34.7885217621074,-17.5304500626539,118.840555244807
6,both,original,post,64.6493464403329,47.8516795300142,-29.1399454384949,158.438638319161
6,both,rotated,pre,9.96333743100079,9.04856648224459,-7.77185287419861,27.6985277362002
6,both,rotated,post,79.9087396253613,55.7195210592518,-29.3015216507722,189.119000901495
7,both,original,pre,24.5863317755437,35.3478096934699,-44.6953752236574,93.8680387747447
7,both,original,post,41.0669069162837,48.0235114001477,-53.0591754280058,135.192989260573
7,both,rotated,pre,1.06163971424951,9.20252265112524,-16.975304681956,19.098584110455
7,both,rotated,post,49.888666439269,55.3497007408778,-58.5967470128514,158.374079891389
8,both,original,pre,51.8895301254406,35.4945687376197,-17.679824600294,121.458884851175
8,both,original,post,25.9302529534754,48.0780073864886,-68.3026415240423,120.163147430993
8,both,rotated,pre,0.678669880253091,9.16150999333458,-17.2778897066827,18.6352294671889
8,both,rotated,post,45.1343255454208,55.5512250102041,-63.7460754745793,154.014726565421
9,both,original,pre,17.4998924531789,35.0955391167387,-51.2873642156289,86.2871491219867
9,both,original,post,78.6300844397371,46.4784900094402,-12.4677559787657,169.72792485824
9,both,rotated,pre,1.07900448340801,9.12719245510619,-16.8102927286001,18.9683016954161
9,both,rotated,post,84.7879174284012,54.0307960834134,-21.1124428950891,190.688277751891
10,both,original,pre,52.4021783810817,34.1452108824761,-14.5224349485714,119.326791710735
10,both,original,post,74.6766113380874,46.5227458847019,-16.5079705959283,165.861193272103
10,both,rotated,pre,11.3110645776836,8.87301712376866,-6.08004898490297,28.7021781402702
10,both,rotated,post,90.0857790143617,54.1621948276206,-16.0721228477747,196.243680876498
11,both,original,pre,23.5479796381027,36.2427759016838,-47.4878611291976,94.583820405403
11,both,original,post,40.2447426886887,49.4685599214073,-56.7136347572696,137.203120134647
11,both,rotated,pre,0.69203267927202,9.41134464179632,-17.7542028186488,19.1382681771928
11,both,rotated,post,48.8157227982503,57.1470789606134,-63.1925519645519,160.823997561052
12,both,original,pre,41.2830518441581,35.038127693853,-27.3916784357938,109.95778212411
12,both,original,post,74.3807863172636,47.9276337398854,-19.5573758129118,168.318948447439
12,both,rotated,pre,4.40185832235044,9.0675441194137,-13.3705281517004,22.1742447964013
12,both,rotated,post,88.2112338879415,55.691360320279,-20.9438323398053,197.366300115688
13,both,original,pre,51.5232976120177,34.7740381057623,-16.6338170752764,119.680412299312
13,both,original,post,61.3269498368159,48.0403927308887,-32.8322199157258,155.486119589358
13,both,rotated,pre,9.71283437063038,9.04239361200561,-8.01025710890061,27.4359258501614
13,both,rotated,post,77.0058735523362,55.9116172797464,-32.5808963159668,186.592643420639
14,both,original,pre,16.1905087780534,35.9339404860814,-54.2400145746661,86.621032130773
14,both,original,post,75.9611573071539,48.0083518454694,-18.1352123099661,170.057526924274
14,both,rotated,pre,-0.0678228342085936,9.2977349276031,-18.2913832923107,18.1557376238935
14,both,rotated,post,82.0580316617522,55.8640127786512,-27.4354333844041,191.551496707909
15,both,original,pre,50.6550525806878,34.7885923136141,-17.5305883539959,118.840693515372
15,both,original,post,64.6493464370734,47.8517680131606,-29.1401188687214,158.438811742868
15,both,rotated,pre,9.96333742896637,9.04858293759463,-7.77188512871911,27.6985599866519
15,both,rotated,post,79.908739618969,55.7196290829174,-29.3017333835492,189.119212621487
16,both,original,pre,50.6550525952149,34.7911130341769,-17.5355289517719,118.845634142202
16,both,original,post,64.6493464566243,47.8552327038443,-29.1469096429105,158.445602556159
16,both,rotated,pre,9.96333743102469,9.04923929271734,-7.7731715827013,27.6998464447507
16,both,rotated,post,79.9087396431957,55.723663703962,-29.3096412165698,189.127120502961
17,both,original,pre,22.9454850803753,35.2768846576157,-46.1972088485515,92.0881790093021
17,both,original,post,38.3352813491947,48.0764640068379,-55.8945881042076,132.565150802597
17,both,rotated,pre,0.736075368313748,9.1708177615382,-17.2387274443011,18.7108781809286
17,both,rotated,post,46.6638099912178,55.4063102231412,-61.932558046139,155.260178028575
18,both,original,pre,38.4717213496558,34.7372439827017,-29.6132768564396,106.556719555751
18,both,original,post,72.5026012546112,46.316574366583,-18.2778845038915,163.283087013114
18,both,rotated,pre,3.97505637664163,9.01068369777373,-13.6858836709949,21.6359964242781
18,both,rotated,post,85.4388506194915,53.8678991498367,-20.1422317141884,191.019932953171
19,both,original,pre,52.3915851579879,34.1459337430279,-14.5344449783468,119.317615294322
19,both,original,post,74.6600025274447,46.5238126034913,-16.5266701753982,165.846675230288
19,both,rotated,pre,11.3085130553916,8.87319186859961,-6.08294300706367,28.6999691178468
19,both,rotated,post,90.0661545659183,54.1634738610352,-16.0942542017106,196.226563333547
20,both,original,pre,15.279842530322,35.0231624074167,-53.3655557882148,83.9252408488587
20,both,original,post,74.7145920578469,46.6656405923536,-16.7500635031662,166.17924761886
