reg,var,beta,se,tstat,pvalue,stars,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,cov21,cov22,cov23,cov24,cov25,cov26,cov27,cov28,cov29,cov30,cov31,cov32,cov33,cov34,cov35,cov36,cov37,cov38,cov39,cov40,cov41
evreg2,2.relative_year_bin_aux,-151.7800325516087,19.59304121517219,-7.74662957550844,1.58910363957e-14,***,441.0035272754093,383.8872640594363,326.5672670439273,255.0284683810641,188.2152582263357,123.7169411857372,68.96005560667869,-92.55015531147404,-168.6412488124337,0,10.32842174282214,1.508803460934301,-40.59712047859339,-6.409934034814109,-20.38398021728476,-32.34130583868586,-17.41320018239785,-41.98927133088139,-24.46274831361315,-49.31611787906265,6.550075729156838,-102.6329375451125,2.219781035067241,2.098814504536166,.2097902786670295,.9011480188580459,-.0033058251807076,-1.266467398984939,-3.363064161854933,2.575006354051552,4.709838221170767,3.410100838790235,-3.301424759175439,-1.497088710153635,-.0777255654701962,5.428739405817794,4.116219664258821,1.039207655681589,2.5104376646308,-1.304951784777968,5.989262523208947
evreg2,3.relative_year_bin_aux,-105.3575189051861,16.87847268246637,-6.242123969820634,5.40721316706e-10,***,370.935319840963,326.5672670439273,284.8828400927635,228.0867068538844,171.1621963530774,114.2254240847324,61.53807477837548,-78.00377432852308,-145.2661643358723,0,9.292289739823554,1.227629370438227,-33.95728365875236,-5.728194309605255,-17.88315967263356,-28.15644712038203,-15.47628916106663,-34.72594864750439,-20.36754644759869,-41.28151943589031,4.437730221648367,-87.590926239314,1.560089745077168,1.186344255175406,-.7710655747337928,-.2886373400420194,-.4661254388953393,-1.080392899345369,-3.038338358440069,2.281574490613696,4.03045371794357,1.876622852399009,-2.468706852967384,-.5147114453118136,1.006623834330203,5.719251203779004,3.937151286481233,.8638460899936609,2.467177794266321,-1.213897957559634,5.179468995819146
evreg2,4.relative_year_bin_aux,-60.59411622564372,13.84306977769378,-4.377216701116604,.0000127327945403,***,286.2600661705747,255.0284683810641,228.0867068538844,191.6305808700989,148.8495208205068,101.0799202912114,53.72531309020859,-60.47511688005385,-112.2783231014835,0,7.016677783194762,.8894244972151194,-28.7854572531031,-9.249760520731529,-18.64455693264605,-26.4223914419475,-18.05695684857632,-31.29052239941857,-17.9008631787705,-34.27318186431543,1.244221047326052,-74.53659608336065,.6530478403011332,.4318430213669422,-1.587806310565859,-2.521175107303722,-2.363242913232439,-1.874052124786602,-3.152340441005388,.5720215313187909,1.087367971919722,1.696208757072798,-1.254105491370741,.2523725424053991,1.819194975211594,6.946149551125115,5.115253445853193,1.71093039275186,2.84339656828127,.3348797174759359,6.664644081256863
evreg2,5.relative_year_bin_aux,-29.45707940286703,11.0277224679686,-2.671184325542178,.007628663033499,***,209.5560120179314,188.2152582263357,171.1621963530774,148.8495208205068,121.6106628305394,85.42569091691129,46.03615661422838,-46.71355095659783,-84.49002175247362,0,6.195894832279921,.6282936351695476,-21.69014199117727,-6.364802339201814,-13.86688220031665,-18.92708990556471,-13.12139944704718,-22.5803304258597,-13.30217463070573,-26.48272776226982,.427502983037004,-58.22539138285441,.8389417879999657,.3175883436709672,-1.309623207928591,-2.263069509935682,-3.12580382420869,-2.481158490365654,-3.52096260473284,.3180380084083812,-.7017610806793765,.1044723677281194,-1.465936835316654,.2485738384919168,1.49473801675886,5.548026430783287,5.116576931129083,2.518285361888422,3.453217689404556,.3846529362812132,6.615570064318777
evreg2,6.relative_year_bin_aux,-5.52070381259169,7.99462114223615,-.6905522743817616,.4899387870146871,,137.5968824569397,123.7169411857372,114.2254240847324,101.0799202912114,85.42569091691129,63.91396720788924,35.4709511240731,-33.51076166378969,-60.6352890361505,0,4.385050910250063,.3963842303050791,-13.33070220875788,-1.320382429338489,-6.744594783665322,-9.942573736585272,-6.290367595785876,-11.61540832018462,-7.754175931776491,-17.31514014881239,-.311325466706342,-38.19503211371078,.2131592429535686,-.2367568105930665,-.9700593836482401,-1.35829305063165,-2.269731526339494,-2.176922023221077,-3.266775998114876,1.219276469093076,.3482427244534654,-.2195879244774378,-.6620832700592967,.7401750631792988,1.185222194355426,3.677385012707227,3.686350832287741,2.383705705401426,3.394761419385247,-.6693278312262257,3.602943274081881
evreg2,7.relative_year_bin_aux,-17.13892948363343,4.774602508425017,-3.589603417958031,.0003403342295991,***,79.04402915792532,68.96005560667869,61.53807477837548,53.72531309020859,46.03615661422838,35.4709511240731,22.79682911345847,-22.37242882377415,-35.59199661524731,0,3.098406548931878,.2580938940956384,-8.418669609015689,2.073668798320769,-.9936258803456464,-2.433355391948003,-.5993368305934005,-3.037496674194417,-1.773913919728332,-9.547054959384452,1.602320975918383,-19.87454287451203,.188889711993391,.055398954153682,-.3713131291738729,-.7668308305871228,-1.645462648978289,-1.731301842422809,-2.63828990422369,.6908611339035133,-.3830584664269319,-.7317869144516918,-.578615840585803,.2372207041751962,.5890033461661346,2.133240459309516,2.502225719196834,2.010130850605402,2.883790216994591,-.3938565956289122,2.704828727393696
evreg2,9.relative_year_bin_aux,43.76933332065092,5.602386282208425,7.81262324942673,9.59862579033e-15,***,-108.3711449246526,-92.55015531147404,-78.00377432852308,-60.47511688005385,-46.71355095659783,-33.51076166378969,-22.37242882377415,31.38673205507714,54.22647734236287,0,-3.492399221638474,-.4184348382439216,8.002173052218762,-3.761444660206893,-.8976065100111157,1.322624503376495,-2.611645084262172,1.281666239841667,.263806189228529,10.68099120834176,-4.612349166194742,20.33146873357191,-.955854196644992,-.9297752533967849,-.4616076602813713,-.6852566115287643,-.0366322514174045,.5286370567721571,1.835502351418592,-1.810025019838532,-2.116071430900366,.3449379693382815,1.521416604379199,.7311537761024788,.1641956756160506,-.9150017232030597,-.9607897696277785,-.8152335421304769,-2.015193417346205,1.636117026348483,-.4891083198346396
evreg2,10.relative_year_bin_aux,47.88241752648619,10.4310381330166,4.59037891683355,4.74049757664e-06,***,-194.2148460215809,-168.6412488124337,-145.2661643358723,-112.2783231014835,-84.49002175247362,-60.6352890361505,-35.59199661524731,54.22647734236287,108.8065565324465,0,-4.31584903904526,-.7071134285380514,8.790939323578174,-3.267092097776952,.6298483117071196,6.147357932878823,-.9113251024501926,5.760558589322588,3.220703364510165,19.51601094337542,-3.511389646093718,39.57435319204861,-1.346086517697588,-1.661644143186729,-1.383630888206382,-2.320130031117263,-2.608469843676919,-1.357872772596673,1.645435163512527,-4.276323803538323,-7.828493173521123,-1.984756616296468,1.968759452242246,1.105581412627312,.8514224580850585,-.911033889974816,.6802024059393716,1.068920315487974,-1.750793305447843,3.810423108646519,3.19471825990078
evreg2,1o.treat,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evreg2,1.moderator,-8.159835135036726,3.851627113079008,-2.118542344695906,.0342701389729914,**,11.8655397973597,10.32842174282214,9.292289739823554,7.016677783194762,6.195894832279921,4.385050910250063,3.098406548931878,-3.492399221638474,-4.31584903904526,0,14.83503141820533,.071003394535377,-2.191439305310022,-1.036810653176648,.9154916549275434,-.9985618276470507,-1.614202519488276,-2.183697521819895,-.5030875657098536,-.6125332362312415,.9764925563417929,-.7670246153729334,-3.049351053868536,-2.160027354699557,-2.219500795730782,-.8696449508451792,-1.880894322451099,-1.856041959119675,-1.946922462532314,.7263915141965939,-1.477927706812389,-14.72591794744275,2.95001067178312,2.181464524960832,2.344661216654185,.807727587423566,1.946896962473553,1.867264120610731,1.798226574734737,-.7901452464663427,1.076216915718363
