type,reference,main_tex_lines,status,package_source,generator_files_exist,output_exists
table,tables/_app_6_main_did_treat_definition_rural_acpop_new3,1167,generated,_app_6_main_did_treat_definition.do; _generate_all_tables.do,true,
table,tables/_app_7_main_did_downup_area_ac_dv_rural_acpop,1178,generated,_app_7_main_did_downup_area_ac_dv.do; _generate_all_tables.do,true,
table,tables/_app_8_main_did_by_year_rural_acpop,1204,generated,_app_8_main_did_by_year.do; _generate_all_tables.do,true,
table,tables/_app_9_main_did_by_state_rural_acpop,1216,generated,_app_9_main_did_by_state.do; _generate_all_tables.do,true,
table,tables/_main_3_bureau_polisc_did_rural_acpop,460,generated,_main_3_bureau_polisc_did.do; _generate_all_tables.do,true,
table,tables/_main_4_protest_5km_fe12_did_downup_rural_acpop_new,1446,generated,_main_4_protest_5km_fe12_did_downup.do; _generate_all_tables.do,true,
table,tables/_main_5_polischar_fe12_did_downup_inter_rural_acpop.tex,1600,generated,_main_5_polischar_fe12_did_downup_inter.do; _generate_all_tables.do,true,
table,tables/_politicians_stacked_descriptive,1493,generated,app_polischar_descriptive.do,true,
table,tables/_protest_stacked_descriptive.tex,1338,generated,app_5km_descriptive.do,true,
table,tables/action_final5,587,code_not_found,No generating code located in this package or the original package,,
table,tables/action_final6,603,code_not_found,No generating code located in this package or the original package,,
table,tables/action_final7,619,code_not_found,No generating code located in this package or the original package,,
table,tables/action_final8,635,code_not_found,No generating code located in this package or the original package,,
table,tables/action_final_additional_disha,2031,code_not_found,No generating code located in this package or the original package,,
table,tables/descriptives_main,1052,generated,app_main_descriptive.do,true,
table,tables/main_did_downup_ac_rural_acpop,450,generated,_main_1_did.do; _generate_all_tables.do,true,
