fe_id,control_sample,version,time,beta,se,lower,upper
3,never,original,0,100.63177949159,21.3342182537923,58.8167117141576,142.446847269023
3,never,original,1,70.7472038686421,20.5149632756563,30.5378758483557,110.956531888928
3,never,original,2,66.7541957599304,21.2175845054024,25.1677301293417,108.340661390519
3,never,original,3,26.8873838182235,22.3264830923834,-16.872523042848,70.6472906792951
3,never,original,4,22.5575224447202,22.8415596711357,-22.2119345107058,67.3269794001462
3,never,rotated,-5,-4.39292574271468,21.4097137587067,-46.3559647097798,37.5701132243505
3,never,rotated,-4,6.87438668696865,18.8395257282624,-30.0510837404256,43.7998571143629
3,never,rotated,-3,-1.65104871125195,18.4257201319898,-37.7654601699519,34.4633627474481
3,never,rotated,-2,0.250640332456688,19.6000145379403,-38.1653881619063,38.6666688268197
3,never,rotated,-1,0,0,0,0
3,never,rotated,0,103.837021907964,21.3342182537923,62.0219541305313,145.652089685397
3,never,rotated,1,77.1576887013894,20.5149632756563,36.948360681103,117.367016721676
3,never,rotated,2,76.3699230090515,21.2175845054024,34.7834573784628,117.95638863964
3,never,rotated,3,39.7083534837182,22.3264830923834,-4.05155337735329,83.4682603447897
3,never,rotated,4,38.5837345265886,22.8415596711357,-6.18572242883742,83.3531914820146
4,never,original,-5,36.5641516906289,22.2372743813936,-7.02090609690269,80.1492094781604
4,never,original,-4,49.5270954280176,20.0107536661885,10.3060182422881,88.7481726137471
4,never,original,-3,19.2550475136932,21.4147351910434,-22.7178334607519,61.2279284881383
4,never,original,-2,13.4203192729707,21.6183304649541,-28.9516084383393,55.7922469842807
4,never,original,-1,0,0,0,0
4,never,original,0,119.983376595638,23.3486816483851,74.2199605648032,165.746792626473
4,never,original,1,108.099939324958,23.2990818095783,62.4337389781842,153.766139671731
4,never,original,2,89.7236556214493,25.0037410111492,40.7163232395968,138.730988003302
4,never,original,3,49.1179747820767,23.0566837880323,3.92687455753343,94.3090750066201
4,never,original,4,39.380570835816,22.1340926236341,-4.00225070650694,82.7633923781389
4,never,rotated,-5,-9.67162262229453,22.2372743813936,-53.2566804098261,33.913435165237
4,never,rotated,-4,14.8502646933251,20.0107536661885,-24.3708124924044,54.0713418790546
4,never,rotated,-3,-3.8628396427685,21.4147351910434,-45.8357206172136,38.1100413316766
4,never,rotated,-2,1.86137569473985,21.6183304649541,-40.5105520165701,44.2333034060498
4,never,rotated,-1,0,0,0,0
4,never,rotated,0,131.542320173869,23.3486816483851,85.778904143034,177.305736204704
4,never,rotated,1,131.217826481419,23.2990818095783,85.5516261346459,176.884026828193
4,never,rotated,2,124.400486356142,25.0037410111492,75.3931539742893,173.407818737994
4,never,rotated,3,95.3537490950001,23.0566837880323,50.1626488704568,140.544849319543
4,never,rotated,4,97.1752887269702,22.1340926236341,53.7924671846473,140.558110269293
5,never,original,-5,34.6085109525345,22.9215801432028,-10.317786128143,79.534808033212
